Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [440], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [440], ""is_host"": false}]",{},"""440""",FLOAT16,FORMAT_ND,"""440""",FLOAT16,FORMAT_ND,1,1.373529,0.0,0.03212,0.401499,0.0,0.297645,0.221627
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [440], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [440], ""is_host"": false}]",{},"""440""",INT8,FORMAT_ND,"""440""",INT8,FORMAT_ND,1,2.216176,0.0,0.039814,0.45919,0.0,0.184472,0.128733
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [440], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [440], ""is_host"": false}]",{},"""440""",UINT8,FORMAT_ND,"""440""",UINT8,FORMAT_ND,1,2.025,0.0,0.043573,0.496732,0.0,0.201888,0.140886
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [534, 448], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [534, 448], ""is_host"": false}]",{},"""534,448""",INT32,FORMAT_ND,"""534,448""",INT32,FORMAT_ND,2,30.816176,0.0,0.010356,0.0068,0.0,0.406633,0.936125
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [534, 448], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [534, 448], ""is_host"": false}]",{},"""534,448""",FLOAT16,FORMAT_ND,"""534,448""",FLOAT16,FORMAT_ND,2,17.106618,0.0,0.021964,0.010703,0.0,0.348936,0.847754
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [534, 448], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [534, 448], ""is_host"": false}]",{},"""534,448""",INT8,FORMAT_ND,"""534,448""",INT8,FORMAT_ND,2,9.108088,0.0,0.2367,0.020667,0.0,0.189311,0.733027
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [534, 448], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [534, 448], ""is_host"": false}]",{},"""534,448""",UINT8,FORMAT_ND,"""534,448""",UINT8,FORMAT_ND,2,7.765441,0.0,0.277625,0.02424,0.0,0.145441,0.687246
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [216, 1, 300], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [216, 1, 300], ""is_host"": false}]",{},"""216,1,300""",INT32,FORMAT_ND,"""216,1,300""",INT32,FORMAT_ND,2,6.783824,0.0,0.049534,0.023954,0.0,0.876003,0.834706
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [216, 1, 300], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [216, 1, 300], ""is_host"": false}]",{},"""216,1,300""",FLOAT16,FORMAT_ND,"""216,1,300""",FLOAT16,FORMAT_ND,2,4.999265,0.0,0.081188,0.030593,0.0,0.204883,0.818356
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [216, 1, 300], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [216, 1, 300], ""is_host"": false}]",{},"""216,1,300""",INT8,FORMAT_ND,"""216,1,300""",INT8,FORMAT_ND,2,3.848529,0.0,0.218571,0.272831,0.0,0.278945,0.596485
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [216, 1, 300], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [216, 1, 300], ""is_host"": false}]",{},"""216,1,300""",UINT8,FORMAT_ND,"""216,1,300""",UINT8,FORMAT_ND,2,3.136029,0.0,0.26823,0.332474,0.0,0.28136,0.527315
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 1114, 2], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [270, 1114, 2], ""is_host"": false}]",{},"""270,1114,2""",INT32,FORMAT_ND,"""270,1114,2""",INT32,FORMAT_ND,2,53.294118,0.0,0.008968,0.017715,0.0,0.736562,0.973882
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 1114, 2], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [270, 1114, 2], ""is_host"": false}]",{},"""270,1114,2""",FLOAT16,FORMAT_ND,"""270,1114,2""",FLOAT16,FORMAT_ND,2,26.516176,0.0,0.014863,0.025456,0.0,0.885641,0.927292
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [270, 1114, 2], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [270, 1114, 2], ""is_host"": false}]",{},"""270,1114,2""",INT8,FORMAT_ND,"""270,1114,2""",INT8,FORMAT_ND,2,19.482353,0.0,0.219807,0.05665,0.0,0.643909,0.717391
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [270, 1114, 2], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [270, 1114, 2], ""is_host"": false}]",{},"""270,1114,2""",UINT8,FORMAT_ND,"""270,1114,2""",UINT8,FORMAT_ND,2,24.615441,0.0,0.17397,0.044658,0.0,0.197837,0.809362
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [708], ""is_host"": false}]",{},"""708""",INT32,FORMAT_ND,"""708""",INT32,FORMAT_ND,2,1.400735,0.0,0.033596,0.247769,0.0,0.330709,0.35748
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [708], ""is_host"": false}]",{},"""708""",FLOAT16,FORMAT_ND,"""708""",FLOAT16,FORMAT_ND,1,1.463235,0.0,0.032161,0.374874,0.0,0.274372,0.21407
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [708], ""is_host"": false}]",{},"""708""",INT8,FORMAT_ND,"""708""",INT8,FORMAT_ND,1,2.223529,0.0,0.042328,0.45172,0.0,0.181878,0.133598
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [708], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [708], ""is_host"": false}]",{},"""708""",UINT8,FORMAT_ND,"""708""",UINT8,FORMAT_ND,1,2.241176,0.0,0.041995,0.445538,0.0,0.316929,0.128609
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]",{},"""37,11,1,5120,54""",INT32,FORMAT_ND,"""37,11,1,5120,54""",INT32,FORMAT_ND,2,9354.720588,0.0,4.3e-05,0.011833,0.0,0.995722,0.999511
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]",{},"""37,11,1,5120,54""",FLOAT16,FORMAT_ND,"""37,11,1,5120,54""",FLOAT16,FORMAT_ND,2,4531.491912,0.0,7.3e-05,0.013181,0.0,0.964993,0.999544
"[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int8"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]",{},"""37,11,1,5120,54""",INT8,FORMAT_ND,"""37,11,1,5120,54""",INT8,FORMAT_ND,2,3214.886765,0.0,0.214208,0.016259,0.0,0.316376,0.77973
"[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""uint8"", ""shape"": [37, 11, 1, 5120, 54], ""is_host"": false}]",{},"""37,11,1,5120,54""",UINT8,FORMAT_ND,"""37,11,1,5120,54""",UINT8,FORMAT_ND,2,3210.092647,0.0,0.214528,0.016284,0.0,0.321975,0.779403
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1962], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1962], ""is_host"": false}]",{},"""1962""",INT32,FORMAT_ND,"""1962""",INT32,FORMAT_ND,2,2.892647,0.0,0.021352,0.11998,0.0,0.49517,0.414845
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1962], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1962], ""is_host"": false}]",{},"""1962""",FLOAT16,FORMAT_ND,"""1962""",FLOAT16,FORMAT_ND,2,1.655882,0.0,0.030195,0.33659,0.0,0.255773,0.255329
