Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1838, 1446], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1838, 1446], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1838,1446;1838,1446""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,54083.335294,0.0,0.915585,0.355364,0.0,0.016656,3e-06
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [106], ""is_host"": false}]","{""reduction"": ""none""}","""106;106""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""106""",FLOAT16,FORMAT_ND,1,10.338235,0.0,0.705263,0.059744,0.0,0.119346,0.014225
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1526, 184], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1526, 184], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1526, 184], ""is_host"": false}]","{""reduction"": ""none""}","""1526,184;1526,184""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1526,184""",FLOAT,FORMAT_ND,2,2298.989706,0.0,0.921933,0.418629,0.0,0.022071,0.010404
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [951, 994], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [951, 994], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [951, 994], ""is_host"": false}]","{""reduction"": ""none""}","""951,994;951,994""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""951,994""",FLOAT16,FORMAT_ND,2,7671.559559,0.0,0.924976,0.425611,0.0,0.016408,0.006841
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1449], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1449], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1449], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1449;1449;1449""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,38.611765,0.0,0.844378,0.119744,0.0,0.059339,0.003656
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [120], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [120], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [120], ""is_host"": false}]","{""reduction"": ""none""}","""120;120""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""120""",FLOAT16,FORMAT_ND,1,9.707353,0.0,0.725951,0.058022,0.0,0.067111,0.017573
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [311], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [311], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [311], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [311], ""is_host"": false}]","{""reduction"": ""none""}","""311;311;311""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""311""",FLOAT,FORMAT_ND,2,18.809559,0.0,0.743872,0.075017,0.0,0.073688,0.022321
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1711], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1711], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1711;1711""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,41.680882,0.0,0.877995,0.118336,0.0,0.01944,0.002611
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1246, 1828], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1246, 1828], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""1246,1828;1246,1828""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,47183.870588,0.0,0.912347,0.357426,0.0,0.017129,7e-06
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [578], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [578], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [578], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""578;578;578""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,25.535294,0.0,0.780926,0.094276,0.0,0.087595,0.011979
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1183], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1183], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1183], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1183;1183;1183""",FLOAT;FLOAT;FLOAT,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,34.130882,0.0,0.828041,0.115516,0.0,0.046878,0.004136
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [446], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [446], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [446], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""mean""}","""446;446;446""",FLOAT16;FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND;FORMAT_ND,"""""",FLOAT16,FORMAT_ND,1,22.013235,0.0,0.821565,0.097401,0.0,0.041419,0.004944
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1732, 1693], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1732, 1693], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1], ""is_host"": false}]","{""reduction"": ""sum""}","""1732,1693;1732,1693""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,1,67722.419118,0.0,0.908681,0.12643,0.0,0.021178,5e-06
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1849, 354], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1849, 354], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1849, 354], ""is_host"": false}]","{""reduction"": ""none""}","""1849,354;1849,354""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1849,354""",FLOAT16,FORMAT_ND,2,5297.110294,0.0,0.92455,0.426524,0.0,0.015337,0.006843
