Original Inputs,Original Outputs,Attributes,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Block Dim,aicore_time(us),mac_ratio,vec_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [160, 180], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [160, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [160, 180], ""is_host"": false}]",{},"""160,180;160,180""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""160,180""",FLOAT,FORMAT_ND,2,7.628676,0.0,0.097735,0.029012,0.0,0.73388,0.276434
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [160, 180], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [160, 180], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [160, 180], ""is_host"": false}]",{},"""160,180;160,180""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""160,180""",FLOAT16,FORMAT_ND,2,6.596324,0.0,0.036562,0.027868,0.0,0.523799,0.335303
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [88, 3333, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [88, 3333, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [88, 3333, 380], ""is_host"": false}]",{},"""88,3333,380;88,3333,380""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""88,3333,380""",INT32,FORMAT_ND,2,32177.867647,0.0,0.089165,0.042953,0.0,0.869373,0.515964
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [88, 3333, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [88, 3333, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [88, 3333, 380], ""is_host"": false}]",{},"""88,3333,380;88,3333,380""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""88,3333,380""",FLOAT,FORMAT_ND,2,35298.701471,0.0,0.151656,0.038999,0.0,0.810718,0.479753
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [88, 3333, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [88, 3333, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [88, 3333, 380], ""is_host"": false}]",{},"""88,3333,380;88,3333,380""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""88,3333,380""",FLOAT16,FORMAT_ND,2,16073.9375,0.0,0.089665,0.078536,0.0,0.832667,0.488337
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1248, 228], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1248, 228], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [1248, 228], ""is_host"": false}]",{},"""1248,228;1248,228""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""1248,228""",INT32,FORMAT_ND,2,71.569118,0.0,0.101917,0.010664,0.0,0.955339,0.607301
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1248, 228], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1248, 228], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [1248, 228], ""is_host"": false}]",{},"""1248,228;1248,228""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1248,228""",FLOAT,FORMAT_ND,2,74.742647,0.0,0.179321,0.010212,0.0,0.950831,0.565568
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1248, 228], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1248, 228], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [1248, 228], ""is_host"": false}]",{},"""1248,228;1248,228""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""1248,228""",FLOAT16,FORMAT_ND,2,44.8625,0.0,0.08113,0.005966,0.0,0.907544,0.613443
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [380, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [380, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [380, 380], ""is_host"": false}]",{},"""380,380;380,380""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""380,380""",INT32,FORMAT_ND,2,37.836765,0.0,0.096933,0.007307,0.0,0.930079,0.629873
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [380, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [380, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [380, 380], ""is_host"": false}]",{},"""380,380;380,380""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""380,380""",FLOAT,FORMAT_ND,2,38.141912,0.0,0.097353,0.007248,0.0,0.921076,0.683689
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [380, 380], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [380, 380], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [380, 380], ""is_host"": false}]",{},"""380,380;380,380""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""380,380""",FLOAT16,FORMAT_ND,2,24.501471,0.0,0.079407,0.079947,0.0,0.775254,0.458466
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [138, 432], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [138, 432], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [138, 432], ""is_host"": false}]",{},"""138,432;138,432""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""138,432""",INT32,FORMAT_ND,2,19.617647,0.0,0.073463,0.011094,0.0,0.766942,0.592016
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [138, 432], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [138, 432], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [138, 432], ""is_host"": false}]",{},"""138,432;138,432""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""138,432""",FLOAT,FORMAT_ND,2,17.1,0.0,0.164689,0.012728,0.0,0.801256,0.458462
"[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [138, 432], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [138, 432], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float16"", ""shape"": [138, 432], ""is_host"": false}]",{},"""138,432;138,432""",FLOAT16;FLOAT16,FORMAT_ND;FORMAT_ND,"""138,432""",FLOAT16,FORMAT_ND,2,9.394853,0.0,0.068091,0.022619,0.0,0.803475,0.293731
"[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3456, 492], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3456, 492], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""int32"", ""shape"": [3456, 492], ""is_host"": false}]",{},"""3456,492;3456,492""",INT32;INT32,FORMAT_ND;FORMAT_ND,"""3456,492""",INT32,FORMAT_ND,2,489.776471,0.0,0.089585,0.043723,0.0,0.864709,0.509355
"[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3456, 492], ""is_host"": false}, {""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3456, 492], ""is_host"": false}]","[{""format"": ""ND"", ""dtype"": ""float"", ""shape"": [3456, 492], ""is_host"": false}]",{},"""3456,492;3456,492""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""3456,492""",FLOAT,FORMAT_ND,2,486.368382,0.0,0.088435,0.044027,0.0,0.864997,0.518378
